array,alg,N,Mv,d,wavelength,SNR_dB,snapshots,delta_deg,crb_deg
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,32,1.0,0.4308442427539006
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,0.0,32,1.0,0.16899101547086506
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,128,1.0,0.2154221213769503
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,0.0,128,1.0,0.08449550773543253
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,256,1.0,0.15232644284323307
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,0.0,256,1.0,0.05974734649952473
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,512,1.0,0.10771106068847515
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,0.0,512,1.0,0.042247753867716266
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,32,1.0,0.2422815224208609
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,5.0,32,1.0,0.09503063158514904
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,128,1.0,0.12114076121043045
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,5.0,128,1.0,0.04751531579257452
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,256,1.0,0.08565945372999566
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,5.0,256,1.0,0.0335984020071497
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,512,1.0,0.060570380605215225
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,5.0,512,1.0,0.02375765789628726
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,32,1.0,0.1362449123872822
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,10.0,32,1.0,0.05343965129926855
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,128,1.0,0.0681224561936411
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,10.0,128,1.0,0.026719825649634276
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,256,1.0,0.048169850725607144
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,10.0,256,1.0,0.018893769908978644
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,512,1.0,0.03406122809682055
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,10.0,512,1.0,0.013359912824817138
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,32,1.0,0.07661614458230728
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,15.0,32,1.0,0.03005132432934084
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,128,1.0,0.03830807229115364
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,15.0,128,1.0,0.01502566216467042
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,256,1.0,0.027087897691259223
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,15.0,256,1.0,0.010624747608456593
Z4(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,512,1.0,0.01915403614557682
Z4(N=7),CoarrayMUSIC,7,13,1.0,2.0,15.0,512,1.0,0.00751283108233521
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,32,1.0,0.4308442427539006
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,0.0,32,1.0,0.21737168257486564
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,128,1.0,0.2154221213769503
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,0.0,128,1.0,0.10868584128743282
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,256,1.0,0.15232644284323307
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,0.0,256,1.0,0.07685249539330859
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,512,1.0,0.10771106068847515
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,0.0,512,1.0,0.05434292064371641
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,32,1.0,0.2422815224208609
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,5.0,32,1.0,0.12223708003800587
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,128,1.0,0.12114076121043045
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,5.0,128,1.0,0.06111854001900294
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,256,1.0,0.08565945372999566
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,5.0,256,1.0,0.043217334103658356
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,512,1.0,0.060570380605215225
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,5.0,512,1.0,0.03055927000950147
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,32,1.0,0.1362449123872822
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,10.0,32,1.0,0.06873896157597098
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,128,1.0,0.0681224561936411
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,10.0,128,1.0,0.03436948078798549
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,256,1.0,0.048169850725607144
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,10.0,256,1.0,0.024302892931045303
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,512,1.0,0.03406122809682055
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,10.0,512,1.0,0.017184740393992745
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,32,1.0,0.07661614458230728
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,15.0,32,1.0,0.038654758744840007
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,128,1.0,0.03830807229115364
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,15.0,128,1.0,0.019327379372420003
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,256,1.0,0.027087897691259223
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,15.0,256,1.0,0.013666521016803183
Z5(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,512,1.0,0.01915403614557682
Z5(N=7),CoarrayMUSIC,7,11,1.0,2.0,15.0,512,1.0,0.009663689686210002
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,32,1.0,0.4308442427539006
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,0.0,32,1.0,0.4308442427539006
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,128,1.0,0.2154221213769503
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,0.0,128,1.0,0.2154221213769503
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,256,1.0,0.15232644284323307
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,0.0,256,1.0,0.15232644284323307
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,0.0,512,1.0,0.10771106068847515
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,0.0,512,1.0,0.10771106068847515
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,32,1.0,0.2422815224208609
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,5.0,32,1.0,0.2422815224208609
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,128,1.0,0.12114076121043045
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,5.0,128,1.0,0.12114076121043045
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,256,1.0,0.08565945372999566
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,5.0,256,1.0,0.08565945372999566
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,5.0,512,1.0,0.060570380605215225
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,5.0,512,1.0,0.060570380605215225
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,32,1.0,0.1362449123872822
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,10.0,32,1.0,0.1362449123872822
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,128,1.0,0.0681224561936411
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,10.0,128,1.0,0.0681224561936411
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,256,1.0,0.048169850725607144
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,10.0,256,1.0,0.048169850725607144
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,10.0,512,1.0,0.03406122809682055
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,10.0,512,1.0,0.03406122809682055
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,32,1.0,0.07661614458230728
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,15.0,32,1.0,0.07661614458230728
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,128,1.0,0.03830807229115364
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,15.0,128,1.0,0.03830807229115364
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,256,1.0,0.027087897691259223
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,15.0,256,1.0,0.027087897691259223
ULA(N=7),SpatialMUSIC,7,7,1.0,2.0,15.0,512,1.0,0.01915403614557682
ULA(N=7),CoarrayMUSIC,7,7,1.0,2.0,15.0,512,1.0,0.01915403614557682
