Array,N,SNR_dB,Delta_deg,Trials,RMSE_mean,RMSE_CI_low,RMSE_CI_high,Resolve_pct,Resolve_CI_low,Resolve_CI_high,CRB_deg,RMSE_over_CRB,Avg_Condition,Time_sec
Z5,7,0,10.000000,400,4.762899,4.577259,4.949424,0.250000,0.044145,1.402329,0.142524,33.418336,41.352823,1.626692
Z5,7,5,10.000000,400,3.824071,3.631375,4.011600,0.000000,0.000000,0.951229,0.080147,47.713293,302.955121,1.676589
Z5,7,10,10.000000,400,3.140723,2.948627,3.335887,0.000000,0.000000,0.951229,0.045070,69.685614,1298.952710,1.584290
Z5,7,15,10.000000,400,3.157164,2.986512,3.341260,0.000000,0.000000,0.951229,0.025345,124.569172,2612.052484,1.693315
Z5,7,20,10.000000,400,3.128229,2.932956,3.315497,0.000000,0.000000,0.951229,0.014252,219.488607,2303.666989,1.705351
Z5,7,0,13.000000,400,6.499596,6.092037,6.927822,0.000000,0.000000,0.951229,0.142900,45.483599,29.507856,1.544684
Z5,7,5,13.000000,400,2.931306,2.637281,3.244819,0.000000,0.000000,0.951229,0.080358,36.477881,1099.090026,1.621417
Z5,7,10,13.000000,400,2.400284,2.170951,2.652329,0.000000,0.000000,0.951229,0.045189,53.116710,1667.713961,1.582888
Z5,7,15,13.000000,400,2.233749,2.022819,2.463228,0.000000,0.000000,0.951229,0.025412,87.902848,4055.227267,1.750304
Z5,7,20,13.000000,400,2.523222,2.271512,2.798997,0.000000,0.000000,0.951229,0.014290,176.572855,3111.901129,1.777545
Z5,7,0,20.000000,400,11.866495,11.426812,12.282937,0.000000,0.000000,0.951229,0.144171,82.308205,44.745648,1.769901
Z5,7,5,20.000000,400,10.281682,9.708932,10.814774,0.000000,0.000000,0.951229,0.081074,126.819145,592.948056,1.635328
Z5,7,10,20.000000,400,9.993439,9.402522,10.527296,0.000000,0.000000,0.951229,0.045591,219.197516,11413.558886,1.763281
Z5,7,15,20.000000,400,9.434252,8.850242,10.000053,0.000000,0.000000,0.951229,0.025638,367.983322,2899.048678,1.730322
Z5,7,20,20.000000,400,9.593578,9.011498,10.130409,0.000000,0.000000,0.951229,0.014417,665.428303,1194.720975,1.673911
Z5,7,0,30.000000,400,19.347395,18.741744,19.885737,7.750000,5.513293,10.790495,0.146990,131.624125,108.136750,1.755562
Z5,7,5,30.000000,400,17.845422,17.096561,18.630205,16.000000,12.733276,19.913560,0.082658,215.893625,348.282669,1.640092
Z5,7,10,30.000000,400,17.111614,16.327900,17.853039,19.500000,15.915064,23.665186,0.046482,368.132329,748.516955,1.965420
Z5,7,15,30.000000,400,16.600617,15.712687,17.486322,22.000000,18.217389,26.315299,0.026139,635.092834,512.505773,1.629837
Z5,7,20,30.000000,400,16.022333,15.185973,16.911754,24.750000,20.774294,29.206077,0.014699,1090.030745,377.494592,1.784711
Z5,7,0,45.000000,400,31.959728,31.662245,32.190459,0.000000,0.000000,0.951229,0.153679,207.963747,485.122999,1.654635
Z5,7,5,45.000000,400,31.564416,31.119115,31.946677,0.750000,0.255389,2.181572,0.086420,365.243353,1235.054572,1.770950
Z5,7,10,45.000000,400,31.135326,30.499397,31.657758,0.500000,0.137225,1.804492,0.048598,640.675286,22.348318,1.615222
Z5,7,15,45.000000,400,31.418669,30.949440,31.866008,0.250000,0.044145,1.402329,0.027328,1149.667739,17.829339,1.770212
Z5,7,20,45.000000,400,31.172612,30.638267,31.702402,1.250000,0.535075,2.892374,0.015368,2028.419382,24.358105,1.612893
