Coupling_c1,Array,SNR_dB,Snapshots,RMSE_degrees,RMSE_CRB_ratio,Resolution_Rate,Bias_degrees,Runtime_ms,RMSE_Degradation_%,CRB_Violation,Coupling_Sensitivity
0.0,Z5,10.0,256,0.00458406204335659,0.004663478734581381,100.0,-0.0006999999999997755,17.849079199368134,-18.96446609406763,-0.0010913778200689183,0.009127922061361423
0.05555555555555555,Z5,10.0,256,0.005091168824543336,0.005129441797678406,100.0,0.001200000000000273,18.80679079797119,-9.999999999996897,-0.0006254147569718935,0.0007455844122715785
0.1111111111111111,Z5,10.0,256,0.00466690475583121,0.004654356152247142,100.0,-0.0006999999999997755,18.53099279711023,-17.50000000000036,-0.0011005004024031576,0.01527350647362892
0.16666666666666666,Z5,10.0,256,0.006788225099390994,0.006697716369668373,100.0,0.00040000000000034675,21.24277799925767,20.00000000000201,0.0009428598150180737,0.0127279220613584
0.2222222222222222,Z5,10.0,256,0.006081118318204366,0.005932423425832005,100.0,-0.00029999999999969873,22.106858199462295,7.500000000000629,0.00017756687118170543,0.005618376618406654
0.2777777777777778,Z5,10.0,256,0.007412489168102847,0.00714505340011318,100.0,-0.0004999999999996305,20.27457520319149,31.03553390593338,0.00139019684546288,0.018873506473629023
0.3333333333333333,Z5,10.0,256,0.008178174593052036,0.007783605328602234,100.0,-0.0010999999999995963,20.164071197155863,44.571067811865205,0.002028748773951934,0.024183051916578213
0.38888888888888884,Z5,10.0,256,0.010099494936611535,0.00948358421745664,100.0,-0.002799999999999528,20.621589398244396,78.53553390592981,0.0037287276628063396,0.011982337649085226
0.4444444444444444,Z5,10.0,256,0.009509545442950391,0.008802795741926668,100.0,-0.002499999999999545,25.170818998711184,68.10660171779573,0.0030479391872763684,-0.020364675298173443
0.5,Z5,10.0,256,0.007836753236814485,0.007144924655439766,100.0,-0.0033999999999996503,19.014296801760793,38.53553390592822,0.0013900681007894666,-0.0301102597104463
